source,target,relations_x,Hits,Score,data_source_x,TAXRANK_target,TAXRANK_source,data_source_y,relations_y,compare
HYBOGNATHUS,PLACITUS,PARENT-CHILD,6.0,13.33,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
HYDROCYNUS,BREVIS,PARENT-CHILD,1.0,11.19,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
HYDROCYNUS,FORSKAHLII,PARENT-CHILD,2.0,12.19,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
HYDROCYNUS,VITTATUS,PARENT-CHILD,9.0,13.77,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
HYPOPHTHALMICHTHYS,MOLITRIX,PARENT-CHILD,4.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ICHTHYOMYZON,FOSSOR,PARENT-CHILD,1.0,13.41,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ICHTHYOMYZON,GAGEI,PARENT-CHILD,1.0,13.0,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ICTALURUS,FURCATUS,PARENT-CHILD,2.0,11.3,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ICTALURUS,PUNCTATUS,PARENT-CHILD,22.0,13.87,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ICTIOBUS,BUBALUS,PARENT-CHILD,2.0,13.67,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ICTIOBUS,CYPRINELLUS,PARENT-CHILD,1.0,13.0,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
KUHLIA,RUPESTRIS,PARENT-CHILD,5.0,12.62,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
LABIDESTHES,SICCULUS,PARENT-CHILD,1.0,13.41,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
LAMPETRA,AEPYPTERA,PARENT-CHILD,1.0,8.76,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
LAMPETRA,FLUVIATILIS,PARENT-CHILD,25.0,11.15,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
