TAXRANK_target_x,target,source,TAXRANK_source_x,data_source_x_x,relations_x,score.1_x,data_source_y_x,included_x,data_source_x,TAXRANK_target_y,TAXRANK_source_y,data_source_x_y,relations_y,score.1_y,data_source_y_y,included_y,data_source_y,_merge
 SPECIES,MACROCHIRUS,LEPOMIS, GENUS,VTO ontology,is_a,13.25,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.25,WEB corpus,both,WEB frequency,both
 SPECIES,GIBBOSUS,LEPOMIS, GENUS,VTO ontology,is_a,13.05,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.05,WEB corpus,both,WEB frequency,both
 SPECIES,MICROLOPHUS,LEPOMIS, GENUS,VTO ontology,is_a,9.94,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,9.94,WEB corpus,both,WEB frequency,both
 SPECIES,RUPESTRIS,AMBLOPLITES, GENUS,VTO ontology,is_a,13.96,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.96,WEB corpus,both,WEB frequency,both
 SPECIES,OCELLATUS,SCIAENOPS, GENUS,VTO ontology,is_a,13.88,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.88,WEB corpus,both,WEB frequency,both
 SPECIES,REGALIS,CYNOSCION, GENUS,VTO ontology,is_a,13.99,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.99,WEB corpus,both,WEB frequency,both
 SPECIES,GRUNNIENS,APLODINOTUS, GENUS,VTO ontology,is_a,13.99,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.99,WEB corpus,both,WEB frequency,both
 SPECIES,RENDALLI,TILAPIA, GENUS,VTO ontology,is_a,13.33,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.33,WEB corpus,both,WEB frequency,both
 SPECIES,MINUTUS,POMATOSCHISTUS, GENUS,VTO ontology,is_a,13.94,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.94,WEB corpus,both,WEB frequency,both
 SPECIES,MELANOSTOMUS,NEOGOBIUS, GENUS,VTO ontology,is_a,13.94,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.94,WEB corpus,both,WEB frequency,both
 SPECIES,MARMORATUS,PROTERORHINUS, GENUS,VTO ontology,is_a,13.47,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.47,WEB corpus,both,WEB frequency,both
 SPECIES,ARMATUS,LEPTOCOTTUS, GENUS,VTO ontology,is_a,13.99,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.99,WEB corpus,both,WEB frequency,both
 SPECIES,SCORPIUS,MYOXOCEPHALUS, GENUS,VTO ontology,is_a,13.37,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.37,WEB corpus,both,WEB frequency,both
 SPECIES,THOMPSONII,MYOXOCEPHALUS, GENUS,VTO ontology,is_a,13.11,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.11,WEB corpus,both,WEB frequency,both
 SPECIES,COGNATUS,COTTUS, GENUS,VTO ontology,is_a,12.5,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,12.5,WEB corpus,both,WEB frequency,both
 SPECIES,BAIRDII,COTTUS, GENUS,VTO ontology,is_a,10.79,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,10.79,WEB corpus,both,WEB frequency,both
 SPECIES,ASPER,COTTUS, GENUS,VTO ontology,is_a,11.83,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,11.83,WEB corpus,both,WEB frequency,both
 SPECIES,POECILOPUS,COTTUS, GENUS,VTO ontology,is_a,11.2,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,11.2,WEB corpus,both,WEB frequency,both
 SPECIES,GULOSUS,COTTUS, GENUS,VTO ontology,is_a,9.23,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,9.23,WEB corpus,both,WEB frequency,both
 SPECIES,RICEI,COTTUS, GENUS,VTO ontology,is_a,9.98,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,9.98,WEB corpus,both,WEB frequency,both
 SPECIES,GOBIO,COTTUS, GENUS,VTO ontology,is_a,12.65,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,12.65,WEB corpus,both,WEB frequency,both
