parent,child,hits,score,score.1
FISH,LEUCISCUS,1,6.58,6.58
FISH,LINNAEUS,1,6.58,6.58
FISH,LOTA,1,6.57,6.57
FISH,LUCIOPERCA,1,6.57,6.57
FISH,MACROCHIRUS,2,7.57,7.57
FISH,MACULATUS,4,8.255,8.255
FISH,MARINUS,1,6.58,6.58
FISH,MENIDIA,1,6.58,6.58
FISH,MICROPTERUS,3,8.13,8.13
FISH,MORONE,1,6.57,6.57
FISH,MYKISS,2,7.56,7.56
FISH,NASUS,1,4.41,4.41
FISH,NEBULOSUS,1,6.58,6.58
FISH,NERKA,1,6.58,6.58
FISH,NIGROMACULATUS,1,6.58,6.58
FISH,NOCOMIS,1,6.58,6.58
FISH,NOTATUS,2,5.42,5.42
FISH,NOTROPIS,1,6.58,6.58
FISH,ONCORHYNCHUS,4,8.53,8.53
FISH,OSMERUS,1,6.58,6.58
FISH,PARVA,1,4.41,4.41
FISH,PERCA,2,7.56,7.56
FISH,PERCIDAE,1,4.44,4.44
FISH,PERCINA,1,6.58,6.58
FISH,PETROMYZON,1,6.58,6.58
FISH,PHOXINUS,1,6.58,6.58
FISH,PIMELODIDAE,2,7.57,7.57
FISH,PLATESSA,1,6.58,6.58
FISH,PLECOGLOSSUS,1,6.58,6.58
FISH,PLEURONECTES,1,6.58,6.58
FISH,POMOXIS,2,7.57,7.57
FISH,PYLODICTIS,2,7.57,7.57
FISH,RHABDOPHORA,1,4.44,4.44
FISH,RHINOGOBIUS,1,6.57,6.57
FISH,RHODEUS,2,7.58,7.58
FISH,RUTHENUS,1,6.58,6.58
