source,target,hits sum,score mean,score median
MOLLUSCA,TRICHOPTERA,2,10.79,10.79
MOXOSTOMA,VALENCIENNESI,2,11.99,11.99
MUSTELA,VISON,2,13.67,13.67
MYKISS,CLARKI,2,10.24,10.24
MYKISS,GAIRDNERI,2,8.53,8.53
NEOCHANNA,DIVERSUS,2,13.41,13.41
NEOGOBIUS,FLUVIATILIS,2,6.3,6.3
NIGRUM,SPECTABILE,2,13.41,13.41
NITELLA,MYRIOPHYLLUM,2,13.41,13.41
NOTROPIS,BLENNIUS,2,10.6,10.6
NOTROPIS,BUCHANANI,2,10.6,10.6
NOTROPIS,DORSALIS,2,10.6,10.6
NOTROPIS,RUBELLUS,2,10.6,10.6
NOTROPIS,TEXANUS,2,10.51,10.51
OLIGOCHAETA,CHIRONOMIDAE,2,11.99,11.99
OLIGOCHAETA,HIRUDINEA,2,12.09,12.09
OLIGOCHAETA,MEGALOPTERA,2,12.19,12.19
ONCHORHYNCHUS,KISUTCH,2,8.13,8.13
ONCORHYNCUS,TSHAWYTSCHA,2,8.57,8.57
ONCORYNCHUS,KISUTCH,2,8.28,8.28
ONCORYNCHUS,MYKISS,2,6.54,6.54
ORCONECTES,VIRILIS,2,11.75,11.75
